Direction of Movement,Flow Monitoring  Point Name,Flow Monitoring  Point Code,latitude,longitude,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25
Incoming,Argin,SD17014PB3,21.988934,31.153322,496,628,4413,712,1555,1672,353,411,502,796,606,807,561,454,425,19950,21492,11329,16875,22604
Incoming,Ashkeet,SD17014PB4,22.000523,31.511477,0,482,5114,135,747,1481,167,152,513,728,5043,14905,22809,29072,19791,35074,14482,15636,21993,26116
Incoming,Adekonk ,SD04115PB6,13.4623111,22.2296523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5771
Incoming,Um Dukhun ,SD06135PB5,11.139,22.966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2835
Incoming,Gallabat ,SD12077PB1,12.95798,36.151888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348
Outgoing,Argin,SD17014PB3,21.988934,31.153322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,927
Outgoing,Ashkeet,SD17014PB4,22.000523,31.511477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519
Outgoing,Adekonk ,SD04115PB6,13.4623111,22.2296523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5493
Outgoing,Um Dukhun ,SD06135PB5,11.139,22.966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2127
Outgoing,Gallabat ,SD12077PB1,12.95798,36.151888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2667

