s_State,s_Volume,s_state_id,s_lat,s_lon,e_locality,e_locality_id,e_lat,e_lon,e_Volume
Khartoum,111,SD01,15.851318,32.843002,Al Fasher,SD15037,14.305408,32.63886,85
Khartoum,112,SD02,15.851318,32.843002,Al Fasher,SD08105,12.079783,34.23656,70
Khartoum,113,SD03,15.851318,32.843002,Al Fasher,SD06110,12.882062,23.02057,1383
Khartoum,114,SD04,15.851318,32.843002,Al Fasher,SD06112,12.045643,22.850442,70
Khartoum,115,SD05,15.851318,32.843002,Al Fasher,SD06131,13.063795,24.006328,5680
Khartoum,116,SD06,15.851318,32.843002,Al Fasher,SD06130,11.808494,23.456506,105
Khartoum,117,SD07,15.851318,32.843002,Al Fasher,SD06132,13.292689,24.471027,41222
Khartoum,118,SD08,15.851318,32.843002,Al Fasher,SD06135,11.374759,23.094016,880
Khartoum,119,SD09,15.851318,32.843002,Al Fasher,SD06137,12.414903,23.31342,390
Khartoum,120,SD10,15.851318,32.843002,Al Fasher,SD06139,13.138674,24.276752,53981
Khartoum,121,SD11,15.851318,32.843002,Al Fasher,SD06138,13.046634,23.537915,1720
Khartoum,122,SD12,15.851318,32.843002,Al Fasher,SD05142,11.420314,26.200741,16965
Khartoum,123,SD13,15.851318,32.843002,Al Fasher,SD05139,11.43547,27.008713,25
Khartoum,124,SD14,15.851318,32.843002,Al Fasher,SD05163,11.672855,25.992083,860
Khartoum,125,SD15,15.851318,32.843002,Al Fasher,SD05148,12.532951,25.693837,23550
Khartoum,126,SD16,15.851318,32.843002,Al Fasher,SD05165,11.845257,25.577187,1230
Khartoum,127,SD17,15.851318,32.843002,Al Fasher,SD12077,12.933774,35.838709,175
Khartoum,128,SD18,15.851318,32.843002,Al Fasher,SD01003,15.998119,32.801408,180
Khartoum,129,SD19,15.851318,32.843002,Al Fasher,SD01001,15.361011,32.583531,5
Khartoum,130,SD20,15.851318,32.843002,Al Fasher,SD01005,16.087487,32.352515,4090
Khartoum,131,SD21,15.851318,32.843002,Al Fasher,SD01004,15.725083,33.380571,10
Khartoum,132,SD22,15.851318,32.843002,Al Fasher,SD01002,16.127237,32.071757,6747
Khartoum,133,SD23,15.851318,32.843002,Al Fasher,SD02114,13.779004,25.370408,187409
Khartoum,134,SD24,15.851318,32.843002,Al Fasher,SD02116,14.095875,27.288253,9970
Khartoum,135,SD25,15.851318,32.843002,Al Fasher,SD02169,11.941731,26.77957,5197
Khartoum,136,SD26,15.851318,32.843002,Al Fasher,SD02118,13.960687,23.597457,5665
Khartoum,137,SD27,15.851318,32.843002,Al Fasher,SD02119,12.503779,26.59213,2944
Khartoum,138,SD28,15.851318,32.843002,Al Fasher,SD02171,15.167895,23.127019,1250
Khartoum,139,SD29,15.851318,32.843002,Al Fasher,SD02113,13.183605,25.319644,76827
Khartoum,140,SD30,15.851318,32.843002,Al Fasher,SD02124,13.609103,24.221376,13861
Khartoum,141,SD31,15.851318,32.843002,Al Fasher,SD02126,13.131685,25.969161,11149
Khartoum,142,SD32,15.851318,32.843002,Al Fasher,SD02168,15.001922,23.532342,2005
Khartoum,143,SD33,15.851318,32.843002,Al Fasher,SD02128,14.514787,24.700321,10938
Khartoum,144,SD34,15.851318,32.843002,Al Fasher,SD02129,14.272746,26.134034,35467
Khartoum,145,SD35,15.851318,32.843002,Al Fasher,SD02133,13.587977,23.435877,2750
Khartoum,146,SD36,15.851318,32.843002,Al Fasher,SD02170,13.351266,24.856704,453830
Khartoum,147,SD37,15.851318,32.843002,Al Fasher,SD02120,15.346977,24.163569,1962
Khartoum,148,SD38,15.851318,32.843002,Al Fasher,SD02136,13.487833,26.880716,1735
Khartoum,149,SD39,15.851318,32.843002,Al Fasher,SD13024,13.074924,30.061859,180
Khartoum,150,SD40,15.851318,32.843002,Al Fasher,SD17019,17.231144,30.689276,10401
Khartoum,151,SD41,15.851318,32.843002,Al Fasher,SD17018,17.854741,28.928065,249
Khartoum,152,SD42,15.851318,32.843002,Al Fasher,SD17015,20.130977,29.061767,50
Khartoum,153,SD43,15.851318,32.843002,Al Fasher,SD17017,19.233941,29.637782,390
Khartoum,154,SD44,15.851318,32.843002,Al Fasher,SD17014,21.2419,28.700439,585
Khartoum,155,SD45,15.851318,32.843002,Al Fasher,SD17020,18.33174,31.968329,13
Khartoum,156,SD46,15.851318,32.843002,Al Fasher,SD10066,21.765717,35.906454,5
Khartoum,157,SD47,15.851318,32.843002,Al Fasher,SD10064,19.508626,37.209322,4199
Khartoum,158,SD48,15.851318,32.843002,Al Fasher,SD10068,19.004451,37.240975,40
Khartoum,159,SD49,15.851318,32.843002,Al Fasher,SD10071,18.889487,36.661004,256
Khartoum,160,SD50,15.851318,32.843002,Al Fasher,SD16010,16.430402,33.692223,25
Khartoum,161,SD51,15.851318,32.843002,Al Fasher,SD03150,12.863599,24.983601,2795
Khartoum,162,SD52,15.851318,32.843002,Al Fasher,SD03156,10.660952,25.577011,700
Khartoum,163,SD53,15.851318,32.843002,Al Fasher,SD03161,10.705195,25.093828,5070
Khartoum,164,SD54,15.851318,32.843002,Al Fasher,SD03143,11.680975,24.333004,885
Khartoum,165,SD55,15.851318,32.843002,Al Fasher,SD03144,12.474009,24.179044,130
Khartoum,166,SD56,15.851318,32.843002,Al Fasher,SD03159,11.030976,24.286542,597
Khartoum,167,SD57,15.851318,32.843002,Al Fasher,SD03145,12.553172,24.982087,5470
Khartoum,168,SD58,15.851318,32.843002,Al Fasher,SD03151,12.57805,25.271605,500
Khartoum,169,SD59,15.851318,32.843002,Al Fasher,SD03167,12.022886,24.825308,1780
Khartoum,170,SD60,15.851318,32.843002,Al Fasher,SD03164,12.400029,24.716581,1537
Khartoum,171,SD61,15.851318,32.843002,Al Fasher,SD03147,12.875603,24.488907,8855
